Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Interpellation betreffend Konzessionsabgaben Erdgas ohne Rechtsgrundlage,Interpellation,Erledigt,19. November 2019,"[' Reiter Ulrich', ' Höhener Patrick', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Höhener Patrick', 'Rita Hug', 'Claudia Bühlmann']",395
"Schriftliche Anfrage betreffend Sprayereien, wilde Abfallentsorgung, Sachbeschädigungen",Anfrage,Beantwortet,12. Mai 2013,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",396
Interpellation betreffend hindernisfreies Wädenswil,Interpellation,Beantwortet,1. Mai 2009,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],397
Interpellation betreffend Ambulante Pflege,Interpellation,Erledigt,30. August 2017,"['Patrik Mouron (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Erstunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",398
Schriftliche Anfrage zum Krieg in der Ukraine,Erklärung,Erledigt,1. März 2022,"[' Utiger Joël', ' Gall Ursula', '', 'Ulrich Eckl (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Utiger Joël', 'Gall Ursula', 'Ulrich Eckl', 'Lukas Wiederkehr']",399
Interpellation betreffend der Einrichtung einer Maturitätsschule,Interpellation,Beantwortet,15. Mai 2012,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],400
Interpellation betreffend Rütihof finanziell noch tragbar?,Interpellation,Erledigt,23. November 2015,"[' Minutella Angelo', '', 'Jonas Rickli (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Jonas Rickli', 'Pierre Rappazzo']",401
Postulat betreffend Geschwindigkeitsreduktion auf der unteren Bergstrasse,Postulat,Abgeschrieben,4. Juni 2012,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",402
Schriftliche Anfrage betreffend Wohnbautätigkeiten in Wädenswil/Au und deren Auswirkungen,Kleine Anfrage,Beantwortet,1. Mai 2008,['FDP-Fraktion'],['FDP-Fraktion'],403
Interpellation betreffend Busfahplan und Busbetrieb,Interpellation,Beantwortet,9. März 2009,['SP-Fraktion'],['SP-Fraktion'],404
Interpellation betreffend Abstimmungspanne vom 11. März 2007,Interpellation,,10. April 2007,['SP-Fraktion'],['SP-Fraktion'],405
Interpellation betreffend IT-Sicherheit in der Stadt Wädenswil,Interpellation,Erledigt,24. September 2018,"[' Hauser Urs', ' Höhener Patrick', ' Reiter Ulrich', '', 'Martin Schlatter (Erstunterzeichner/in)\n Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Hauser Urs', 'Höhener Patrick', 'Reiter Ulrich', 'Martin Schlatter', 'Rita Hug', 'Claudia Bühlmann', 'Gabi Bachmann']",406
Postulat betreffend mehr Professionalität und Chancengleichheit bei der Einbürgerung,Postulat,Beantwortet,9. Februar 2007,['SVP-Fraktion'],['SVP-Fraktion'],407
Interpellation zur Sicherheit im Lehrschwimmbecken Steinacher,Interpellation,Erledigt,26. März 2013,['Albert A. Stahel'],['Albert A. Stahel'],408
Postulat betreffend ökologische Mobilitätsrabatte für Mitarbeiter/-innen der Stadt Wädenswil,Postulat,Nicht überwiesen,15. Dezember 2008,['GP-Fraktion'],['GP-Fraktion'],409
Interpellation betreffend Attraktivitäts-Steigerung und Steuerfuss-Strategie,Interpellation,Beantwortet,1. September 2008,['SVP-Fraktion'],['SVP-Fraktion'],410
Schriftliche Anfrage betreffend Beitritt der Stadt Wädenswil zur europäischen Charta für die Gleichstellung von Frau und Mann,Kleine Anfrage,Beantwortet,17. Mai 2008,['Willy Rüegg'],['Willy Rüegg'],411
Schriftliche Anfrage betreffend sinnvolle Nutzung von Flachdächern,Kleine Anfrage,Beantwortet,18. Juni 2012,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",412
"Postulat betreffend Sicherheit von Badenden beim ""Seegüetli""",Postulat,Erledigt,24. Mai 2022,"[' Koch Thomas', ' Lüthi Beat', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Ernst Grand (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Koch Thomas', 'Lüthi Beat', 'Schafflützel Roman', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",413
Postulat betreffend Biogasanteil in Standardprodukten und Wädenswiler Biomassenpotenzial,Postulat,Erledigt,2. Oktober 2017,"[' Minutella Angelo', '', 'Michael Weiss (keine Funktion)\n Pierre Rappazzo (Mitunterzeichner/in)', '']","['Minutella Angelo', 'Michael Weiss', 'Pierre Rappazzo']",414
Postulat betreffend Beitritt der Stadt Wädenswil zur KulturLegi Kanton Zürich der Caritas,Postulat,Beantwortet,27. April 2009,['CVP-Fraktion'],['CVP-Fraktion'],415
Schriftliche Anfrage betreffend MS Glärnisch in der Wädenswiler Haab,Anfrage,Erledigt,22. September 2019,[' Rasper Nicolas'],['Rasper Nicolas'],416
Schriftliche Anfrage betreffend Bau von Photovoltaikanlagen auf öffentlichen Gebäuden,Anfrage,Beantwortet,14. Mai 2013,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",417
Postulat betreffend Förderbeitrag E-Bikes,Postulat,Nicht überwiesen,15. April 2010,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",418
Interpellation betreffend Rendite der Liegenschaften im Finanzvermögen,Interpellation,Erledigt,19. März 2018,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",419
Postulat betreffend Verbesserung Verkehrssicherheit Bahnhofplatz Wädenswil,Postulat,Nicht überwiesen,19. Juli 2010,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",420
Interpellation betreffend Entwicklung Halbinsel Giessen,Interpellation,Beantwortet,19. Januar 2010,['GP-Fraktion'],['GP-Fraktion'],421
Postulat betreffend erste halbe Stunde gratis Bus fahren,Postulat,,16. Dezember 2009,['SP-Fraktion'],['SP-Fraktion'],422
Postulat betreffend Sicherstellung Wasserqualität des Bachgadenweiher-Zufluss Aabach,Postulat,Nicht überwiesen,19. Juli 2010,"['Pascal Rubin (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",423
Postulat betreffend Stärkung der ortsansässigen Vereine,Postulat,Erledigt,19. März 2018,"['Pascal Rubin (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",424
Interpellation betreffend Seeuferweg im Giessen,Interpellation,Beantwortet,17. März 2010,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)', '']","['Tobias Mani', 'Rahel Sonderegger']",425
Schriftliche Anfrage betreffend Energieberatung für Privatpersonen und KMU,Anfrage,Beantwortet,14. Mai 2013,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",426
Interpellation betreffend Pflanzenschutzmittel,Interpellation,Erledigt,28. August 2019,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",427
Postulat betreffend Verbesserung des Reitwegnetzes,Postulat,Nicht überwiesen,26. April 2009,['GP-Fraktion'],['GP-Fraktion'],428
Postulat betreffend öV auf der Autobahn A3,Postulat,Abgeschrieben,6. September 2017,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",429
"Interpellation betreffend ""Wie weiter nach Annahme der Kulturlandinitiative?""",Interpellation,Beantwortet,22. Juni 2012,"[' Furrer Astrid', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Pascal Rubin (keine Funktion)\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Ivano Coduri', 'Erich Schärer', 'Pascal Rubin', 'Walter Münch']",430
Interpellation betreffend finanzielle Unterstützung von Vereinen,Interpellation,Erledigt,4. März 2022,"[' Rasper Nicolas', ' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '']","['Rasper Nicolas', 'Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",431
Motion zur Änderung des Abschreibungssystems bei der Wasserversorgung und Abwasserentsorgung sowie bei der Erdgasversorgung,Motion,Beantwortet,13. Mai 2008,['CVP-Fraktion'],['CVP-Fraktion'],432
Schriftliche Anfrage betreffend Touristeninformationsbüro in Wädenswil,Kleine Anfrage,Beantwortet,3. Februar 2009,['EVP-Fraktion'],['EVP-Fraktion'],433
Postulat betreffend Erweiterung des Toblerwegs entlang der alten Landstrasse in der Au,Postulat,,27. August 2008,['Peter Dolder'],['Peter Dolder'],434
"Schriftliche Anfrage zur Behandlung von Anfragen aus der Bevölkerung, welche an den Stadtrat gehen",Kleine Anfrage,Beantwortet,26. März 2013,['Albert A. Stahel'],['Albert A. Stahel'],435
Schriftliche Anfrage betreffend slowUp am linken Zürichsee,Kleine Anfrage,,22. Januar 2007,['GP-Fraktion'],['GP-Fraktion'],436
Schriftliche Anfrage zu einem verkehrstechnischen Leitbild der Stadt Wädenswil,Kleine Anfrage,Beantwortet,5. Dezember 2006,"['Martin Lampert, SVP']",['Martin Lampert'],437
Interpellation betreffend Bushaltestellen Tobelrain und Hallenbad/Frohmatt,Interpellation,Beantwortet,23. März 2009,['EVP-Fraktion'],['EVP-Fraktion'],438
Schriftliche Anfrage betreffend Halbinsel Au,Kleine Anfrage,Beantwortet,11. April 2008,['Jürg Wuhrmann (Verfasser/in)'],['Jürg Wuhrmann'],439
Dringliche Interpellation betreffend Asylunterkünfte,Dringliche Interpellation,Erledigt,18. August 2022,"[' Baer Charlotte', ' Cogliati Bruno', ' Hitz Roland', ' Kronauer Marco', ' Rasper Nicolas', ' Rusterholz Marlies', ' Zürrer André', '', 'Sandy Bossert (Mitunterzeichner/in)']","['Baer Charlotte', 'Cogliati Bruno', 'Hitz Roland', 'Kronauer Marco', 'Rasper Nicolas', 'Rusterholz Marlies', 'Zürrer André', 'Sandy Bossert']",440
Interpellation betreffend der Entwicklung der lokalen Landwirtschaft,Interpellation,Beantwortet,15. Juli 2012,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],441
Postulat betreffend Wechselsignal Tiefenhofstrasse,Postulat,Nicht überwiesen,6. Mai 2009,['EVP-Fraktion'],['EVP-Fraktion'],442
Interpellation betreffend Piazza im Stadtzentrum,Interpellation,Erledigt,1. November 2017,"['Patrik Mouron (Mitunterzeichner/in)\n Volkan Dogu (Erstunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",443
Postulat betreffend Schliessung Seeuferweglücke,Postulat,Abgeschrieben,14. Juni 2016,"['Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '', '']","['Simon Kägi', 'Rita Hug', 'Claudia Bühlmann']",444
Postulat betreffend Erfrischungsgetränk,Postulat,Abgeschrieben,12. Juni 2019,"['Pascal Rubin (Mitunterzeichner/in)\n Bruno Zürcher (Erstunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",445
Postulat betreffend Definierung von Rahmenbedingungen für einen Mindestanteil günstigen Wohnraums in Gestaltungsplänen,Postulat,Abgeschrieben,22. April 2013,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",446
Postulat betreffend Bewilligungskompetenzen zum geänderten Projekt Überdachung Busbahnhof Welle,Postulat,Nicht überwiesen,22. Mai 2010,"['Kuno Spirig, GLP']",['Kuno Spirig'],447
Schriftliche Anfrage betreffend Neuhofpark,Kleine Anfrage,Beantwortet,30. November 2009,['CVP-Fraktion'],['CVP-Fraktion'],448
Schriftliche Anfrage betreffend Personalfluktuation in der Abteilung Soziales,Kleine Anfrage,Beantwortet,31. August 2007,"['und Aurèle Greter, CVP\n \n Simon Kägi (Verfasser/in)', '', '']","['Aurel Greter', 'Simon Kägi']",449
Interpellation betreffend Schlittelwege in Wädenswil,Interpellation,Beantwortet,28. November 2010,"[' Erni Jonas', '', 'Corina Bürgi, SP\n Migmar Dhakyel, SP\n Willy Rüegg, SP\n Thomas Hartmann, SP\n Daniel Tanner (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Daniel Tanner']",450
Interpellation betreffend Verkehrszunahme und zeitweise Verkehrsüberlastung der Region Hintere Rüti/Neubüel,Interpellation,Erledigt,15. März 2018,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (Mitunterzeichner)\n\nChristoph Lehmann (Mitunterzeichner)\n\n\nAdrian Stocker (Mitunterzeichner/in)\nPascal Rubin (Mitunterzeichner/in)\nChristina Zurfluh Fraefel (Mitunterzeichner/in)\nRoy Schärer (Erstunterzeichner/in)\nHanspeter Andreoli (Mitunterzeichner/in)\nSandy Bossert (Mitunterzeichner/in)', 'Markus Siegrist (Mitunterzeichner)\n\nChristoph Lehmann (Mitunterzeichner)', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Hanspeter Andreoli', 'Sandy Bossert', 'Markus Siegrist', 'Christoph Lehmann']",451
Schriftliche Anfrage betreffend Volksinitiative in Wädenswil und die Kostenfolge für den Steuerzahler,Anfrage,Beantwortet,17. August 2010,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Martin Lampert, SVP\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",452
Postulat betreffend Verbesserung der Sicherheit in finsterer Nacht,Postulat,Beantwortet,17. August 2010,"['Thomas Hartmann, SP']",['Thomas Hartmann'],453
Schriftliche Anfrage betreffend lebenswertes Wädenswil,Anfrage,Beantwortet,15. März 2018,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",454
Postulat betreffend der Machbarkeit von Videoüberwachung neuralgischer (sicherheitsgefährdeter) Orte in Wädenswil,Postulat,Beantwortet,25. November 2010,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Martin Lampert, SVP\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",455
Postulat betreffend Gesundheitsprävention in Wädenswil,Postulat,Nicht überwiesen,6. Dezember 2009,"['Thomas Largiadèr, SP, Aurel Greter, CVP und Tobias Mani, EVP']","['Thomas Largiadèr', 'Aurel Greter', 'Tobias Mani']",456
Schriftliche Anfrage betreffend Public WLAN Netz,Kleine Anfrage,Beantwortet,31. August 2007,['EVP-Fraktion'],['EVP-Fraktion'],457
Postulat betreffend wirksame Bedachung des Busbahnhofs in Wädenswil,Postulat,Nicht überwiesen,22. Mai 2010,"['Kuno Spirig, GLP']",['Kuno Spirig'],458
Postulat betreffend Überprüfung und Vereinfachung des Systems der Nutzungsgebühren/Mieten von Vereinen resp. Unterstützung durch die Stadt,Postulat,Abgeschrieben,22. April 2013,"[' Furrer Astrid', ' Koch Thomas', '', 'Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)\n Christian Nufer (keine Funktion)', '', '']","['Astrid Furrer', 'Koch Thomas', 'Walter Münch', 'Walter Münch', 'Christian Nufer']",459
Interpellation betreffend Abbau von öffentlichen Parkplätzen,Interpellation,Erledigt,12. Juni 2019,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",460
"Schriftliche Anfrage betreffend Stand Vermarktung ""Werkstadt Zürisee""",Anfrage,Beantwortet,10. Juni 2016,"[' Koch Thomas', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Pascal Rubin (Mitunterzeichner/in)\n Pierre Rappazzo (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '', '', '']","['Koch Thomas', 'Ivano Coduri', 'Erich Schärer', 'Pascal Rubin', 'Pierre Rappazzo', 'Hanspeter Andreoli', 'Christian Nufer']",461
Postulat betreffend Spielplatz mit Café im Untermosen,Postulat,Erledigt,7. November 2017,"['Patrik Mouron (keine Funktion)\n Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Erstunterzeichner/in)', '', '', '']","['Patrik Mouron', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",462
Postulat betreffend Solarzellen auf dem ARA-Neubau,Postulat,,6. Mai 2009,['GP-Fraktion'],['GP-Fraktion'],463
"Interpellation betreffend Vorbereitung der Stadt Wädenswil auf mögliche ""Blackouts"" im Winter",Interpellation,Erledigt,2. September 2022,"[' Schafflützel Roman', ' Koch Thomas', ' Lüthi Beat', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Schafflützel Roman', 'Koch Thomas', 'Lüthi Beat', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",464
Schriftliche Anfrage zur Erstellung eines Solarkataster in Wädenswil,Kleine Anfrage,Beantwortet,9. Juli 2012,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",465
Interpellation betreffend Sozialhilfe in der Stadt Wädenswil,Interpellation,Beantwortet,15. April 2008,['BFPW-Fraktion'],['BFPW-Fraktion'],466
Schriftliche Anfrage betreffend Buslinienführung,Kleine Anfrage,Beantwortet,9. März 2009,['CVP-Fraktion'],['CVP-Fraktion'],467
Schriftliche Anfrage betreffend Zusammenarbeit der Primarschule Wädenswil mit der Oberstufenschulgemeinde Wädenswil-Schönenberg-Hütten,Kleine Anfrage,Beantwortet,14. Dezember 2006,['Walter Münch (Verfasser/in)'],['Walter Münch'],468
Postulat betreffend Badewasserqualität Bachgadenweiher,Postulat,Beantwortet,14. Januar 2007,['SVP-Fraktion'],['SVP-Fraktion'],469
Interpellation betreffend Projektidee eines Hochhauses am Gerbeplatz,Interpellation,Beantwortet,31. März 2009,['CVP-Fraktion'],['CVP-Fraktion'],470
Postulat betreffend Label Energiestadt,Postulat,Beantwortet,31. März 2008,"['Heinz Wiher, Grüne\n Astrid Furrer, FDP', '']","['Heinz Wiher', 'Astrid Furrer']",471
Schriftliche Anfrage zur Einbürgerung von ausländischen Einwohnerinnen und Einwohnern,Anfrage,Beantwortet,16. Juli 2017,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Erstunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",472
Interpellation betreffend saubere Chilbi,Interpellation,Beantwortet,4. Juli 2012,"[' Baer Charlotte', '', 'Kuno Spirig\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Kuno Spirig', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",473
Interpellation betreffend Werkstadt Zürisee,Interpellation,Erledigt,24. Juni 2022,"[' Lüthi Beat', ' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Lüthi Beat', 'Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",474
Interpellation betreffend Unterschriftensammlung in Wädenswil,Interpellation,Beantwortet,14. Mai 2009,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],475
"Schriftliche Anfrage betreffend ""Stadtmelder""",Anfrage,Beantwortet,12. Oktober 2017,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",476
Schriftliche Anfrage betreffend Verkehrssicherheit an der Speerstrasse,Anfrage,Erledigt,29. November 2013,"['Heinz Wiher, GP']",['Heinz Wiher'],477
Postulat betreffend Schuldenbremse,Postulat,Abgeschrieben,10. April 2013,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",478
Interpellation betreffend nachhaltige Finanzplanung,Interpellation,Erledigt,12. Juli 2019,['Christian Gross (Erstunterzeichner/in)'],['Christian Gross'],479
Postulat betreffend Landschaftsentwicklungskonzept (LEK),Postulat,Beantwortet,15. Mai 2010,[' Erni Jonas'],['Erni Jonas'],480
Interpellation betreffend weniger Verkehr auf der Neuguetstrasse,Interpellation,Erledigt,23. Juni 2020,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",481
Postulat betreffend erste halbe Stunde gratis parkieren,Postulat,Nicht überwiesen,14. Dezember 2009,['SVP-Fraktion'],['SVP-Fraktion'],482
Schriftliche Anfrage betreffend Ladenöffnungszeiten,Anfrage,Beantwortet,1. September 2010,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']",483
Postulat betreffend Stadtratsbeschlüsse aktiv publizieren,Postulat,Erledigt,12. März 2018,['Judith Fürst (Erstunterzeichner/in)'],['Judith Fürst'],484
Interpellation betreffend Umnutzung der städtischen Liegenschaft Etzelstrasse 6 für günstigen Wohnraum für Familien,Interpellation,Erledigt,1. September 2014,"[' Baer Charlotte', ' Koch Thomas', ' Stucki Adrian', '', 'Sachkommission\n Rahel Sonderegger (keine Funktion)\n Andreas Gut (keine Funktion)\n Edith Brunner (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)', '', '', '', '']","['Baer Charlotte', 'Koch Thomas', 'Stucki Adrian', 'Rahel Sonderegger', 'Andreas Gut', 'Edith Brunner', 'Hanspeter Andreoli']",485
Interpellation betreffend neuem Busfahrplan,Interpellation,Erledigt,1. September 2014,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",486
